id,forename,name,title,party,gender
555500000394,Klaus,Adelt,,SPD,M
555500002811,Ilse,Aigner,,CSU,W
555500000369,Hubert,Aiwanger,,Freie Wähler,M
555500000366,Horst,Arnold,,SPD,M
555500000341,Inge,Aures,Dipl.-Ingenieurin (FH); M.A.,SPD,W
555500000318,Martin,Bachhuber,,CSU,M
555500000334,Peter,Bauer,Prof. (Univ. Lima) Dr.,Freie Wähler,M
555500000395,Volker,Bauer,,CSU,M
555500000396,Jürgen,Baumgärtner,,CSU,M
555500000362,Winfried,Bausback,Prof. Dr.,CSU,M
555500000397,Eric,Beißwenger,,CSU,M
555500000002,Otmar,Bernhard,Dr.,CSU,M
555500000161,Susann,Biedefeld,,SPD,W
555500000383,Markus,Blume,,CSU,M
555500000162,Reinhold,Bocklet,,CSU,M
555500000398,Robert,Brannekämper,,CSU,M
555500000309,Gudrun,Brendel-Fischer,,CSU,W
555500000400,Florian,von Brunn,,SPD,M
555500000163,Helmut,Brunner,,CSU,M
555500000401,Kerstin,Celina,,Grüne,W
555500000458,Ilona,Deckwerth,,SPD,W
555500000328,Petra,Dettenhöfer,,CSU,W
555500000392,Alex,Dorow,,CSU,M
555500000402,Norbert,Dünkel,,CSU,M
555500000228,Sepp,Dürr,Dr.,Grüne,M
555500000194,Gerhard,Eck,,CSU,M
555500000403,Ute,Eiling-Hütig,Dr.,CSU,W
555500000292,Georg,Eisenreich,,CSU,M
555500000404,Wolfgang,Fackler,,CSU,M
555500000370,Hans Jürgen,Fahn,Dr.,Freie Wähler,M
555500000405,Martina,Fehlner,,SPD,W
555500000371,Günther,Felbinger,,Fraktionslos,M
555500000406,Alexander,Flierl,,CSU,M
555500000131,Karl,Freller,,CSU,M
555500000359,Albert,Füracker,,CSU,M
555500000407,Markus,Ganserer,Dipl.-Ing.,Grüne,M
555500000113,Peter Paul,Gantzer,Prof. Dr.,SPD,M
555500000342,Thomas,Gehring,,Grüne,M
555500000408,Judith,Gerlach,,CSU,W
555500000409,Max,Gibis,,CSU,M
555500000372,Thorsten,Glauber,,Freie Wähler,M
555500000086,Thomas,Goppel,Dr.,CSU,M
555500000209,Ulrike,Gote,,Grüne,W
555500000350,Eva,Gottstein,,Freie Wähler,W
555500000214,Martin,Güll,,SPD,M
555500000344,Harald,Güller,,SPD,M
555500000166,Petra,Guttenberger,,CSU,W
555500000256,Christine,Haderthauer,,CSU,W
555500000325,Volkmar,Halbleib,,SPD,M
555500000357,Joachim,Hanisch,,Freie Wähler,M
555500000347,Ludwig,Hartmann,,Grüne,M
555500000455,Johann,Häusler,,Freie Wähler,M
555500000252,Ingrid,Heckner,,CSU,W
555500000167,Jürgen W.,Heike,,CSU,M
555500000294,Hans,Herold,,CSU,M
555500000168,Florian,Herrmann,Dr.,CSU,M
555500000356,Joachim,Herrmann,,CSU,M
555500000355,Leopold,Herz,Dr.,Freie Wähler,M
555500000410,Alexandra,Hiersemann,,SPD,W
555500000283,Johannes,Hintersberger,M.A.,CSU,M
555500000411,Michael,Hofmann,,CSU,M
555500000412,Klaus,Holetschek,,CSU,M
555500000457,Florian,Hölzl,,CSU,M
555500000413,Gerhard,Hopp,Dr.,CSU,M
555500000117,Erwin,Huber,,CSU,M
555500000255,Marcel,Huber,Dr.,CSU,M
555500000414,Martin,Huber,Dr.,CSU,M
555500000415,Thomas,Huber,MBA,CSU,M
555500000285,Melanie,Huml,,CSU,W
555500000288,Otto,Hünnerkopf,Dr.,CSU,M
555500000258,Hermann,Imhof,,CSU,M
555500000384,Oliver,Jörg,,CSU,M
555500000280,Christine,Kamm,,Grüne,W
555500000416,Michaela,Kaniber,,CSU,W
555500000336,Annette,Karl,,SPD,W
555500000417,Sandro,Kirchner,,CSU,M
555500000418,Günther,Knoblauch,,SPD,M
555500000365,Natascha,Kohnen,,SPD,W
555500000206,Alexander,König,,CSU,M
555500000090,Bernd,Kränzle,,CSU,M
555500000419,Herbert,Kränzlein,Dr.,SPD,M
555500000420,Nikolaus,Kraus,,Freie Wähler,M
555500000421,Anton,Kreitmair,,CSU,M
555500000173,Thomas,Kreuzer,,CSU,M
555500000422,Harald,Kühn,,CSU,M
555500000361,Manfred,Ländner,,CSU,M
555500000423,Otto,Lederer,,CSU,M
555500000424,Ulrich,Leiner,,Grüne,M
555500000391,Ludwig,Freiherr von Lerchenfeld,,CSU,M
555500000385,Andreas,Lorenz,,CSU,M
555500000425,Andreas,Lotte,,SPD,M
555500000146,Christian,Magerl,Dr.,Grüne,M
555500000300,Beate,Merk,Dr.,CSU,W
555500000354,Peter,Meyer,,Freie Wähler,M
555500000426,Jürgen,Mistol,,Grüne,M
555500000299,Emilia Franziska,Müller,,CSU,W
555500000427,Ruth,Müller,,SPD,W
555500000324,Alexander,Muthmann,,Fraktionslos,M
555500000279,Thomas,Mütze,,Grüne,M
555500000428,Walter,Nussel,,CSU,M
555500000429,Verena,Osgyan,,Grüne,W
555500000430,Kathi,Petersen,,SPD,W
555500000226,Hans-Ulrich,Pfaffmann,,SPD,M
555500000373,Michael,Piazolo,Prof. Dr.,Freie Wähler,M
555500000332,Bernhard,Pohl,,Freie Wähler,M
555500000047,Franz Josef,Pschierer,,CSU,M
555500000208,Christoph,Rabenstein,Dr.,SPD,M
555500000431,Helmut,Radlmeier,,CSU,M
555500000432,Doris,Rauscher,,SPD,W
555500000433,Hans,Reichhart,Dr.,CSU,M
555500000343,Tobias,Reiß,,CSU,M
555500000386,Franz,Rieger,Dr.,CSU,M
555500000368,Markus,Rinderspacher,,SPD,M
555500000434,Hans,Ritt,,CSU,M
555500000290,Florian,Ritter,,SPD,M
555500000352,Bernhard,Roos,,SPD,M
555500000435,Georg,Rosenthal,,SPD,M
555500000049,Eberhard,Rotter,,CSU,M
555500000055,Heinrich,Rudrof,,CSU,M
555500000065,Martin,Runge,Dr.,Grüne,M
555500000262,Berthold,Rüth,,CSU,M
555500000051,Alfred,Sauter,,CSU,M
555500000456,Andreas,Schalk,,CSU,M
555500000308,Ulrike,Scharf,,CSU,W
555500000436,Harry,Scheuenstuhl,,SPD,M
555500000053,Franz,Schindler,,SPD,M
555500000437,Gabi,Schmidt,,Freie Wähler,W
555500000215,Helga,Schmitt-Bussinger,,SPD,W
555500000360,Martin,Schöffel,,CSU,M
555500000296,Angelika,Schorer,,CSU,W
555500000438,Tanja,Schorer-Dremel,,CSU,W
555500000321,Kerstin,Schreyer,,CSU,W
555500000439,Katharina,Schulze,,Grüne,W
555500000236,Stefan,Schuster,,SPD,M
555500000440,Thorsten,Schwab,,CSU,M
555500000441,Harald,Schwartz,Dr.,CSU,M
555500000388,Horst,Seehofer,,CSU,M
555500000322,Bernhard,Seidenath,,CSU,M
555500000278,Reserl,Sem,,CSU,W
555500000442,Gisela,Sengl,,Grüne,W
555500000200,Bernd,Sibler,,CSU,M
555500000189,Markus,Söder,Dr.,CSU,M
555500000272,Kathrin,Sonnenholzner,,SPD,W
555500000190,Ludwig,Spaenle,Dr.,CSU,M
555500000327,Diana,Stachowitz,,SPD,W
555500000100,Barbara,Stamm,,CSU,W
555500000389,Claudia,Stamm,,Fraktionslos,W
555500000443,Rosi,Steinberger,,Grüne,W
555500000320,Klaus,Steiner,,CSU,M
555500000263,Sylvia,Stierstorfer,,CSU,W
555500000297,Klaus,Stöttner,,CSU,M
555500000444,Karl,Straub,,CSU,M
555500000339,Florian,Streibl,,Freie Wähler,M
555500000298,Jürgen,Ströbel,,CSU,M
555500000307,Reinhold,Strobl,,SPD,M
555500000274,Simone,Strohmayr,Dr.,SPD,W
555500000445,Martin,Stümpfig,,Grüne,M
555500000446,Arif,Tasdelen,,SPD,M
555500000345,Walter,Taubeneder,,CSU,M
555500000447,Peter,Tomaschko,,CSU,M
555500000448,Carolina,Trautner,,CSU,W
555500000070,Joachim,Unterländer,,CSU,M
555500000333,Karl,Vetter,Dr.,Freie Wähler,M
555500000449,Steffen,Vogel,,CSU,M
555500000450,Ruth,Waldmann,,SPD,W
555500000205,Gerhard,Waschler,Prof. Dr.,CSU,M
555500000282,Ernst,Weidenbusch,,CSU,M
555500000291,Angelika,Weikert,,SPD,W
555500000351,Paul,Wengert,Dr.,SPD,M
555500000077,Johanna,Werner-Muggendorfer,,SPD,W
555500000451,Manuel,Westphal,,CSU,M
555500000338,Jutta,Widmann,,Freie Wähler,W
555500000337,Margit,Wild,,SPD,W
555500000080,Georg,Winter,,CSU,M
555500000271,Peter,Winter,,CSU,M
555500000452,Mechthilde,Wittmann,,CSU,W
555500000453,Herbert,Woerlein,,SPD,M
555500000326,Isabell,Zacharias,,SPD,W
555500000275,Josef,Zellmeier,,CSU,M
555500000454,Benno,Zierer,,Freie Wähler,M